NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Marina Santos;Marina.Santos9@gmail.com;51941-031;Franco Avenida;905;Petrópolis;Rio Grande do Sul;Eletrônicos, Livros & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/484.jpg
Lívia Xavier;Livia_Xavier@yahoo.com;53778-542;Silva Rodovia;858;Porto Alegre;Rondônia;Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1230.jpg
Júlio Reis;Julio_Reis68@hotmail.com;89386-476;Joana Rua;259;Caxias do Sul;Paraná;Sapatos, Turismo & Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/545.jpg
Felícia Nogueira;Felicia0@live.com;69556-431;Isabel Avenida;590;Petrolina;Bahia;Casa, Jóias & Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1168.jpg
Maria Júlia Braga;MariaJulia_Braga@hotmail.com;17964-354;Ricardo Rua;316;Jundiaí;Pará;Sapatos & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/387.jpg
Silas Macedo;Silas_Macedo82@gmail.com;68716-783;Oliveira Alameda;959;São Paulo;Rio Grande do Sul;Jogos, Ferramentas & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/826.jpg
Antônio Xavier;Antonio76@gmail.com;22492-697;Oliveira Travessa;30;Jundiaí;Rio de Janeiro;Casa, Sapatos & Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/128.jpg
Laura Saraiva;Laura_Saraiva63@hotmail.com;88292-192;Nogueira Rua;363;Santa Maria;São Paulo;Automotivo, Música & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/61.jpg
Maria Helena Nogueira;MariaHelena.Nogueira@yahoo.com;21946-963;Melo Travessa;354;Joinville;Bahia;Eletrônicos, Bebê & Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/117.jpg
Fabrício Moraes;Fabricio_Moraes78@gmail.com;14713-602;Júlio César Avenida;669;Limeira;Paraíba;Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/289.jpg
Ana Laura Costa;AnaLaura_Costa@live.com;36955-143;Maria Rodovia;568;Palmas;Alagoas;Ferramentas, Livros & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/17.jpg
Lucca Macedo;Lucca.Macedo57@yahoo.com;24891-111;Ana Luiza Travessa;132;Taboão da Serra;Rondônia;Jardim & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/77.jpg
Sophia Barros;Sophia.Barros@bol.com.br;22462-598;Gael Avenida;120;Porto Velho;Rio de Janeiro;Beleza, Música & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/236.jpg
Hélio Barros;Helio_Barros@hotmail.com;66497-574;Xavier Travessa;32;Betim;Minas Gerais;Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/943.jpg
Guilherme Carvalho;Guilherme.Carvalho@bol.com.br;60444-054;Isabela Travessa;275;Palmas;Sergipe;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/499.jpg
Sophia Moraes;Sophia_Moraes@hotmail.com;97393-690;Albuquerque Travessa;275;Taubaté;Acre;Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/838.jpg
Gúbio Costa;Gubio_Costa73@gmail.com;59639-095;Rafael Avenida;568;Cariacica;Paraná;Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1092.jpg
Júlio Braga;Julio6@gmail.com;29402-713;Beatriz Alameda;713;Campina Grande;Acre;Computadores & Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/837.jpg
Norberto Braga;Norberto69@bol.com.br;24061-132;Eduarda Travessa;426;Goiânia;São Paulo;Beleza, Beleza & Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/902.jpg
Lívia Costa;Livia39@hotmail.com;29763-644;Santos Rua;879;Serra;Paraná;Casa & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/208.jpg
Ladislau Albuquerque;Ladislau_Albuquerque42@yahoo.com;23775-818;João Miguel Alameda;928;Guarulhos;Goiás;Jóias, Turismo & Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/115.jpg
Aline Braga;Aline.Braga9@gmail.com;64283-062;João Pedro Avenida;855;Osasco;Pernambuco;Roupas, Filmes & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1063.jpg
Lorena Santos;Lorena.Santos74@yahoo.com;89367-341;Gael Marginal;89;São João de Meriti;São Paulo;Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/894.jpg
Lara Carvalho;Lara_Carvalho@live.com;25588-163;Rafaela Marginal;232;Mauá;Rio Grande do Sul;Esportes & Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/814.jpg
Elisa Braga;Elisa15@hotmail.com;28875-838;Carla Avenida;905;Petrópolis;Roraima;Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1203.jpg
Víctor Carvalho;Victor.Carvalho@bol.com.br;43533-926;Batista Rua;412;Brasília;Sergipe;Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/158.jpg
