NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Caio Xavier;Caio_Xavier@yahoo.com;72994-916;Mariana Marginal;211;João Pessoa;Rio de Janeiro;Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/875.jpg
Lorena Moraes;Lorena.Moraes@gmail.com;46694-882;Sílvia Rua;296;Ribeirão das Neves;Acre;Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/989.jpg
Ana Clara Reis;AnaClara_Reis43@gmail.com;91054-911;Franco Marginal;71;Contagem;Amazonas;Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/822.jpg
Maria Clara Franco;MariaClara_Franco0@bol.com.br;31370-780;Alícia Travessa;942;Cariacica;São Paulo;Filmes, Crianças & Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/657.jpg
Maria Helena Oliveira;MariaHelena_Oliveira76@bol.com.br;27010-300;Joaquim Alameda;140;Boa Vista;Tocantins;Computadores & Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/619.jpg
Miguel Barros;Miguel.Barros28@yahoo.com;02516-089;Lorenzo Alameda;967;Campinas;Rondônia;Filmes, Saúde & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1031.jpg
Bruna Costa;Bruna.Costa77@hotmail.com;12819-377;Vicente Rodovia;863;Londrina;Maranhão;Música & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/468.jpg
Lívia Batista;Livia.Batista@gmail.com;44647-355;Felipe Rodovia;224;Guarulhos;Tocantins;Livros;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1039.jpg
Manuela Braga;Manuela8@bol.com.br;88775-583;Barros Avenida;533;Petrolina;Amapá;Crianças & Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1191.jpg
Vitor Barros;Vitor85@bol.com.br;71860-397;Liz Travessa;452;Bauru;Paraná;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1160.jpg
Isabelly Oliveira;Isabelly_Oliveira@gmail.com;26919-602;Moreira Rodovia;810;Santo André;Distrito Federal;Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1086.jpg
Miguel Franco;Miguel_Franco68@yahoo.com;09117-266;Costa Alameda;815;Piracicaba;Rio de Janeiro;Casa & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/135.jpg
Pedro Henrique Costa;PedroHenrique7@live.com;27075-495;Macedo Avenida;909;Ananindeua;Rio de Janeiro;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/490.jpg
Yuri Xavier;Yuri.Xavier@yahoo.com;26617-265;Lucas Avenida;804;Maringá;Amapá;Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/712.jpg
Eloá Moreira;Eloa_Moreira91@live.com;38377-959;Barros Marginal;676;Petrópolis;Santa Catarina;Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/275.jpg
Yango Pereira;Yango_Pereira@bol.com.br;78310-682;Esther Travessa;40;Porto Velho;Piauí;Beleza, Jogos & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/722.jpg
Matheus Carvalho;Matheus_Carvalho@bol.com.br;93175-731;Frederico Rua;931;Montes Claros;Ceará;Bebê, Jogos & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/76.jpg
Roberto Costa;Roberto_Costa90@yahoo.com;86742-017;João Miguel Marginal;905;Cascavel;Espírito Santo;Jardim, Eletrônicos & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/46.jpg
Felícia Xavier;Felicia_Xavier58@gmail.com;94427-423;Nogueira Avenida;336;Brasília;Paraíba;Beleza, Música & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/342.jpg
Maria Clara Saraiva;MariaClara_Saraiva89@live.com;28412-240;Fábio Alameda;525;Limeira;Roraima;Saúde & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1047.jpg
Ana Júlia Oliveira;AnaJulia.Oliveira@hotmail.com;37116-904;Maria Luiza Rua;329;Bauru;Mato Grosso do Sul;Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/182.jpg
Caio Reis;Caio87@gmail.com;92429-994;Pereira Avenida;737;Taboão da Serra;Piauí;Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/781.jpg
Margarida Xavier;Margarida.Xavier0@yahoo.com;73708-696;Ofélia Rodovia;413;Suzano;Rondônia;Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/710.jpg
Manuela Batista;Manuela_Batista@yahoo.com;28318-865;Kléber Rodovia;473;Londrina;Roraima;Jardim & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/883.jpg
Emanuelly Oliveira;Emanuelly_Oliveira85@bol.com.br;31285-795;Liz Travessa;994;Limeira;Acre;Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/270.jpg
César Pereira;Cesar.Pereira57@gmail.com;79868-140;Ana Clara Rodovia;959;João Pessoa;Amazonas;Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/811.jpg
Nicolas Nogueira;Nicolas_Nogueira50@bol.com.br;07232-792;Larissa Travessa;514;Salvador;Paraná;Ferramentas & Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1235.jpg
Lorenzo Pereira;Lorenzo32@gmail.com;51748-562;Sarah Avenida;857;Porto Velho;Bahia;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1005.jpg
Carla Silva;Carla_Silva@gmail.com;67374-788;Carvalho Travessa;981;Juiz de Fora;Rio Grande do Sul;Jardim & Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/621.jpg
