NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Bruna Macedo;Bruna16@hotmail.com;57832-064;Costa Marginal;384;Vila Velha;Goiás;Roupas, Turismo & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/31.jpg
Aline Moraes;Aline.Moraes88@hotmail.com;63176-784;Alexandre Alameda;792;Mauá;Paraná;Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/35.jpg
Fabiano Martins;Fabiano_Martins50@bol.com.br;15132-027;Carvalho Travessa;673;Juiz de Fora;Rio Grande do Sul;Esportes & Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/268.jpg
Leonardo Braga;Leonardo_Braga@live.com;45468-318;Maria Luiza Rua;260;Itaquaquecetuba;Paraíba;Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1004.jpg
Márcia Melo;Marcia_Melo@live.com;12588-070;Marcos Rodovia;18;Nova Iguaçu;Roraima;Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/819.jpg
Vitória Melo;Vitoria.Melo73@yahoo.com;67608-597;Silva Rodovia;129;Canoas;Paraná;Mercearia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1168.jpg
Danilo Martins;Danilo43@yahoo.com;74489-603;Sara Avenida;386;Carapicuíba;Alagoas;Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/518.jpg
Luiza Carvalho;Luiza.Carvalho11@live.com;50546-275;Nogueira Avenida;28;Contagem;Tocantins;Música, Computadores & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1240.jpg
Feliciano Reis;Feliciano.Reis@yahoo.com;38974-691;Xavier Avenida;448;Guarujá;Amapá;Jogos & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/570.jpg
Víctor Souza;Victor.Souza29@yahoo.com;88300-442;Silva Avenida;672;Sumaré;Piauí;Filmes & Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/115.jpg
Aline Carvalho;Aline_Carvalho@yahoo.com;90076-533;Xavier Travessa;829;Macapá;Maranhão;Filmes, Livros & Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1048.jpg
Ígor Barros;Igor.Barros@bol.com.br;03167-060;Bernardo Rodovia;866;Mogi das Cruzes;Sergipe;Sapatos, Sapatos & Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1039.jpg
Cauã Carvalho;Caua72@yahoo.com;86166-587;Isadora Rodovia;361;João Pessoa;Roraima;Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/737.jpg
Salvador Santos;Salvador.Santos@live.com;13217-402;Lorena Rodovia;93;Maringá;Paraná;Beleza & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1079.jpg
Lucca Moreira;Lucca.Moreira@yahoo.com;86100-212;Nogueira Avenida;131;Mauá;Rondônia;Beleza & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1070.jpg
Marcela Saraiva;Marcela.Saraiva87@yahoo.com;91840-695;Nataniel Rua;252;Cuiabá;Roraima;Livros, Filmes & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/13.jpg
Cecília Melo;Cecilia_Melo@live.com;81070-092;Silva Alameda;841;Curitiba;Distrito Federal;Industrial & Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/275.jpg
Gúbio Reis;Gubio.Reis@hotmail.com;39797-421;Moreira Avenida;940;São Vicente;Santa Catarina;Jogos & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/602.jpg
Clara Macedo;Clara0@gmail.com;95169-361;Gúbio Alameda;92;Bauru;Rio Grande do Norte;Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/827.jpg
Maria Cecília Moreira;MariaCecilia.Moreira26@live.com;93393-385;Costa Avenida;797;Salvador;Paraná;Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1156.jpg
Tertuliano Franco;Tertuliano.Franco@live.com;92174-007;Pedro Henrique Rua;170;Macapá;Pernambuco;Computadores, Jardim & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/396.jpg
Maria Costa;Maria_Costa@yahoo.com;43508-035;Hélio Travessa;952;Mogi das Cruzes;Bahia;Roupas, Mercearia & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/193.jpg
João Miguel Martins;JoaoMiguel19@yahoo.com;91834-779;Franco Rua;243;Campos dos Goytacazes;Paraíba;Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/881.jpg
Enzo Gabriel Albuquerque;EnzoGabriel34@yahoo.com;33523-113;Costa Marginal;150;Curitiba;Mato Grosso do Sul;Saúde, Beleza & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/373.jpg
Dalila Barros;Dalila53@hotmail.com;54535-373;Moreira Alameda;637;Mogi das Cruzes;Rio Grande do Norte;Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/97.jpg
Marcos Martins;Marcos_Martins22@yahoo.com;05351-043;Saraiva Avenida;183;Piracicaba;Espírito Santo;Ferramentas & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/835.jpg
Víctor Franco;Victor75@live.com;98974-129;Enzo Gabriel Avenida;46;Salvador;Ceará;Computadores, Jóias & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/117.jpg
Talita Carvalho;Talita_Carvalho84@bol.com.br;22177-440;Santos Marginal;891;Cariacica;Rio Grande do Sul;Livros & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1159.jpg
Maria Alice Nogueira;MariaAlice.Nogueira@live.com;46590-382;Pedro Henrique Marginal;988;Caxias do Sul;Piauí;Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/849.jpg
Miguel Santos;Miguel_Santos@yahoo.com;47747-315;Dalila Alameda;343;São Bernardo do Campo;Pernambuco;Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/346.jpg
Davi Lucca Nogueira;DaviLucca.Nogueira38@gmail.com;51096-666;Clara Marginal;127;Vitória;Amazonas;Esportes & Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/714.jpg
Elisa Carvalho;Elisa68@yahoo.com;73735-333;Tertuliano Travessa;427;Santos;Paraíba;Jóias, Jardim & Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1090.jpg
Isabella Albuquerque;Isabella_Albuquerque@yahoo.com;38078-156;Franco Rodovia;65;São José dos Pinhais;Ceará;Música & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/294.jpg
Natália Saraiva;Natalia.Saraiva10@hotmail.com;32524-278;Deneval Marginal;747;Ponta Grossa;Piauí;Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1092.jpg
Heitor Xavier;Heitor_Xavier@hotmail.com;33425-807;Martins Travessa;491;Caruaru;Rondônia;Beleza & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/868.jpg
Kléber Reis;Kleber_Reis8@gmail.com;77323-571;Yasmin Travessa;729;Aparecida de Goiânia;Rio de Janeiro;Jardim, Livros & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/234.jpg
Ana Laura Carvalho;AnaLaura_Carvalho3@yahoo.com;82100-686;Silva Rua;781;Vitória;Roraima;Bebê, Industrial & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/859.jpg
Marli Batista;Marli99@yahoo.com;25620-962;Batista Rodovia;59;São Luís;Mato Grosso;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/74.jpg
Henrique Barros;Henrique8@live.com;00066-290;Carvalho Alameda;788;São José dos Pinhais;Paraíba;Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/367.jpg
Isis Barros;Isis88@bol.com.br;48826-821;Martins Travessa;700;Petrópolis;Rio Grande do Sul;Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/683.jpg
Eduarda Moreira;Eduarda22@bol.com.br;74665-035;Maria Alice Alameda;702;Santarém;Roraima;Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/406.jpg
Cecília Souza;Cecilia72@bol.com.br;04437-922;Júlia Alameda;680;Osasco;Paraná;Roupas, Música & Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/863.jpg
Isaac Oliveira;Isaac.Oliveira71@hotmail.com;30357-540;Sophia Rodovia;148;Curitiba;Maranhão;Casa & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/512.jpg
Vitória Santos;Vitoria_Santos96@gmail.com;96056-618;Aline Marginal;654;Petrópolis;Distrito Federal;Turismo, Automotivo & Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1143.jpg
Dalila Costa;Dalila_Costa@hotmail.com;35380-987;Vitor Marginal;81;Londrina;Amapá;Bebê & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/795.jpg
Lorraine Carvalho;Lorraine22@gmail.com;66794-168;Paulo Travessa;388;Osasco;Espírito Santo;Automotivo, Ferramentas & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/315.jpg
Lorena Carvalho;Lorena.Carvalho@gmail.com;09701-310;Maria Eduarda Alameda;724;Teresina;Pará;Mercearia, Saúde & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/134.jpg
Melissa Souza;Melissa88@bol.com.br;27119-600;Ricardo Rodovia;519;Pelotas;Espírito Santo;Computadores & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/704.jpg
Ana Laura Santos;AnaLaura38@gmail.com;09979-503;Isabelly Marginal;109;São José dos Campos;Acre;Automotivo & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1095.jpg
Vitória Batista;Vitoria18@live.com;47547-526;Ana Júlia Rua;548;Sumaré;Paraná;Sapatos & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/658.jpg
