NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Maria Luiza Albuquerque;MariaLuiza.Albuquerque70@yahoo.com;38896-044;Oliveira Rua;622;Vila Velha;Rio Grande do Sul;Bebê & Livros;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/845.jpg
Helena Franco;Helena2@hotmail.com;85223-547;Feliciano Travessa;818;Ribeirão Preto;Santa Catarina;Filmes & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/860.jpg
Nataniel Xavier;Nataniel47@live.com;97806-679;Macedo Rua;247;Belo Horizonte;Distrito Federal;Industrial, Jardim & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/331.jpg
Lorraine Albuquerque;Lorraine39@hotmail.com;63726-705;Giovanna Rua;270;Florianópolis;Amazonas;Roupas, Brinquedos & Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/293.jpg
César Braga;Cesar37@live.com;33676-151;Kléber Marginal;164;Maceió;Maranhão;Eletrônicos & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1103.jpg
Lucca Souza;Lucca.Souza7@yahoo.com;07894-428;Costa Rodovia;300;Macapá;Amapá;Automotivo, Música & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/415.jpg
Nataniel Carvalho;Nataniel_Carvalho77@yahoo.com;30791-528;Vicente Alameda;210;Blumenau;Paraná;Ferramentas, Bebê & Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/199.jpg
Suélen Costa;Suelen.Costa70@gmail.com;70837-592;Moraes Travessa;490;Suzano;Santa Catarina;Saúde;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/231.jpg
Meire Carvalho;Meire.Carvalho@live.com;58730-634;Braga Rodovia;586;Pelotas;Ceará;Automotivo, Eletrônicos & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/524.jpg
Marcela Saraiva;Marcela_Saraiva@live.com;83153-559;Moraes Marginal;789;Várzea Grande;Mato Grosso;Turismo, Eletrônicos & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/983.jpg
