NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Guilherme Saraiva;Guilherme_Saraiva44@gmail.com;45715-114;Silva Rodovia;16;Uberaba;Pará;Saúde, Turismo & Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1122.jpg
Margarida Santos;Margarida.Santos@bol.com.br;49699-734;Norberto Marginal;544;Piracicaba;Sergipe;Ferramentas & Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/3.jpg
Silas Melo;Silas_Melo7@hotmail.com;71800-429;Calebe Alameda;57;Petrópolis;Distrito Federal;Jardim & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/693.jpg
João Pedro Reis;JoaoPedro25@yahoo.com;25192-084;Núbia Rodovia;622;Nova Iguaçu;Roraima;Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/781.jpg
Lucas Martins;Lucas_Martins95@yahoo.com;18524-857;Moreira Travessa;987;Pelotas;Alagoas;Crianças, Beleza & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/170.jpg
Ana Luiza Silva;AnaLuiza_Silva@hotmail.com;30548-067;Braga Marginal;902;Campina Grande;Maranhão;Filmes, Computadores & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/910.jpg
Alice Xavier;Alice60@bol.com.br;40269-275;Sarah Travessa;719;Taubaté;Rondônia;Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/290.jpg
João Xavier;Joao.Xavier@bol.com.br;48562-892;Fabiano Rodovia;267;Anápolis;Rio Grande do Norte;Crianças, Eletrônicos & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/516.jpg
Manuela Costa;Manuela58@gmail.com;78543-083;Isadora Rodovia;261;Piracicaba;Espírito Santo;Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/426.jpg
Ana Laura Pereira;AnaLaura65@bol.com.br;54035-025;Carvalho Travessa;968;Santa Maria;Tocantins;Jardim & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/604.jpg
