NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Warley Souza;Warley_Souza32@gmail.com;58787-986;Moraes Travessa;529;Mogi das Cruzes;Maranhão;Casa, Jardim & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/850.jpg
Henrique Reis;Henrique.Reis@bol.com.br;87255-683;Souza Travessa;346;Mauá;Pernambuco;Bebê, Crianças & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/615.jpg
Sophia Oliveira;Sophia.Oliveira94@bol.com.br;01993-554;Meire Rodovia;170;Canoas;Rio Grande do Sul;Automotivo & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/202.jpg
Marcela Carvalho;Marcela69@hotmail.com;07467-946;Carvalho Alameda;314;Praia Grande;Acre;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/978.jpg
Meire Nogueira;Meire64@gmail.com;26353-498;Isaac Alameda;34;São Vicente;Paraíba;Saúde & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/498.jpg
Lorraine Barros;Lorraine_Barros76@yahoo.com;44180-679;João Pedro Alameda;838;Serra;Amazonas;Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/533.jpg
Júlio César Costa;JulioCesar.Costa@hotmail.com;55204-334;Melo Alameda;292;Florianópolis;Mato Grosso do Sul;Jardim & Jardim;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1084.jpg
Márcia Santos;Marcia_Santos29@hotmail.com;25267-866;Maria Clara Travessa;39;Blumenau;Santa Catarina;Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/79.jpg
Eduardo Carvalho;Eduardo_Carvalho1@yahoo.com;42387-056;Melo Rodovia;647;Sorocaba;Mato Grosso do Sul;Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/154.jpg
Murilo Santos;Murilo54@hotmail.com;06467-327;Laura Alameda;41;Porto Alegre;Paraná;Livros, Saúde & Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/626.jpg
Samuel Carvalho;Samuel_Carvalho81@live.com;19878-157;Carvalho Avenida;441;Blumenau;Tocantins;Música, Brinquedos & Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/754.jpg
Pablo Melo;Pablo_Melo20@hotmail.com;18797-956;Miguel Travessa;589;Goiânia;Rio Grande do Sul;Ferramentas, Turismo & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/410.jpg
Alessandro Santos;Alessandro_Santos67@gmail.com;09815-353;Marcelo Rua;451;Jundiaí;Pernambuco;Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1239.jpg
Pedro Barros;Pedro_Barros@hotmail.com;35177-203;Moreira Marginal;319;Santo André;Alagoas;Música & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/215.jpg
Sirineu Costa;Sirineu27@gmail.com;10734-735;Heitor Alameda;543;Jundiaí;Pernambuco;Computadores, Jóias & Casa;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/186.jpg
Manuela Macedo;Manuela_Macedo98@bol.com.br;32039-446;Saraiva Alameda;974;Piracicaba;Piauí;Mercearia & Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1005.jpg
Joaquim Pereira;Joaquim_Pereira@bol.com.br;38598-394;Raul Alameda;570;Serra;Maranhão;Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/827.jpg
Norberto Carvalho;Norberto_Carvalho@live.com;30169-310;Raul Avenida;929;São José dos Campos;Rio Grande do Sul;Turismo, Jóias & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/34.jpg
Heitor Franco;Heitor.Franco@gmail.com;42621-680;Souza Travessa;41;Brasília;Distrito Federal;Música;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1173.jpg
Elisa Melo;Elisa98@live.com;57642-897;Leonardo Alameda;266;Pelotas;Paraíba;Livros, Jogos & Bebê;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/879.jpg
Yago Pereira;Yago3@gmail.com;22731-203;Gustavo Alameda;167;Goiânia;Goiás;Casa & Industrial;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/339.jpg
Maria Luiza Franco;MariaLuiza_Franco@yahoo.com;80638-065;Roberto Travessa;598;Porto Velho;Santa Catarina;Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1131.jpg
Yuri Reis;Yuri.Reis2@bol.com.br;68940-667;Albuquerque Rodovia;781;Campo Grande;Santa Catarina;Filmes & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1007.jpg
Benício Melo;Benicio18@live.com;23213-797;Ana Clara Alameda;155;Jaboatão dos Guararapes;São Paulo;Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/813.jpg
César Nogueira;Cesar_Nogueira@hotmail.com;34360-815;Maria Eduarda Avenida;919;Belém;Goiás;Jogos & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1009.jpg
