NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Alexandre Macedo;Alexandre_Macedo27@yahoo.com;31106-071;Larissa Rua;779;São João de Meriti;Rio Grande do Sul;Jogos & Computadores;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/325.jpg
Lívia Carvalho;Livia_Carvalho14@live.com;22924-389;Reis Avenida;594;Paulista;Roraima;Automotivo, Roupas & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/990.jpg
Núbia Souza;Nubia22@bol.com.br;73574-387;Carvalho Travessa;16;Maringá;Rio Grande do Sul;Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1026.jpg
Marina Saraiva;Marina.Saraiva@yahoo.com;15986-671;Macedo Rodovia;383;Contagem;Tocantins;Eletrônicos & Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/612.jpg
Alícia Albuquerque;Alicia.Albuquerque@bol.com.br;24599-770;Eloá Rodovia;675;Porto Alegre;Rio Grande do Norte;Livros & Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/323.jpg
Gustavo Costa;Gustavo96@yahoo.com;66958-639;Braga Marginal;258;Sorocaba;Paraíba;Eletrônicos, Ferramentas & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/571.jpg
Ricardo Nogueira;Ricardo.Nogueira@hotmail.com;18062-933;Noah Avenida;56;Aparecida de Goiânia;Mato Grosso;Brinquedos & Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/222.jpg
Sara Martins;Sara.Martins@live.com;34655-454;Breno Alameda;429;Ribeirão das Neves;Amapá;Livros, Filmes & Brinquedos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/658.jpg
Meire Oliveira;Meire.Oliveira16@yahoo.com;43818-059;Alice Avenida;788;Praia Grande;Distrito Federal;Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1032.jpg
Bruna Macedo;Bruna_Macedo@hotmail.com;13113-296;Santos Travessa;575;Santarém;Ceará;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1126.jpg
César Carvalho;Cesar23@gmail.com;95749-148;Barros Alameda;162;Belford Roxo;Rio de Janeiro;Jardim & Beleza;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/664.jpg
Paulo Nogueira;Paulo_Nogueira13@bol.com.br;01827-223;Oliveira Alameda;83;Carapicuíba;Rio Grande do Sul;Crianças;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1211.jpg
Natália Costa;Natalia.Costa@hotmail.com;93723-813;Moraes Travessa;772;Belém;São Paulo;Mercearia, Turismo & Turismo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/541.jpg
Benjamin Nogueira;Benjamin.Nogueira@gmail.com;49419-058;Carvalho Marginal;747;Camaçari;Acre;Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/462.jpg
Vitor Carvalho;Vitor_Carvalho15@yahoo.com;91402-438;Melo Travessa;653;Maringá;Minas Gerais;Sapatos & Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/125.jpg
Vitória Moraes;Vitoria_Moraes@bol.com.br;60004-152;Davi Travessa;753;Blumenau;Rio Grande do Sul;Turismo & Roupas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/437.jpg
