NOME;EMAIL;CEP;LOGRADOURO;NUMERO;CIDADE;ESTADO;DEPARTAMENTO;AVATAR
Murilo Macedo;Murilo78@live.com;67002-427;Moreira Alameda;955;Camaçari;Rio Grande do Norte;Bebê & Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/288.jpg
Isabela Batista;Isabela_Batista@bol.com.br;76508-899;Gustavo Avenida;291;Serra;Alagoas;Jóias;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/808.jpg
Danilo Albuquerque;Danilo.Albuquerque@hotmail.com;43917-143;João Miguel Avenida;879;Uberlândia;Alagoas;Automotivo & Livros;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/219.jpg
Giovanna Carvalho;Giovanna74@live.com;95657-220;Souza Avenida;909;Campo Grande;São Paulo;Computadores & Eletrônicos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/936.jpg
Isaac Reis;Isaac80@live.com;36667-503;Vitória Rua;332;Franca;Amapá;Sapatos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1239.jpg
Márcia Carvalho;Marcia84@yahoo.com;78384-329;Roberta Travessa;972;Serra;Minas Gerais;Crianças, Bebê & Ferramentas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/651.jpg
Marli Souza;Marli_Souza3@bol.com.br;93932-085;Enzo Gabriel Rodovia;571;Fortaleza;Rio de Janeiro;Jardim & Esportes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/562.jpg
Warley Xavier;Warley_Xavier26@hotmail.com;10081-130;Albuquerque Rua;944;Duque de Caxias;Roraima;Roupas, Automotivo & Automotivo;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1134.jpg
Lavínia Costa;Lavinia.Costa26@hotmail.com;90916-970;Oliveira Marginal;372;Santo André;Pará;Filmes, Jóias & Filmes;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/597.jpg
Heitor Silva;Heitor47@live.com;24946-054;Barros Marginal;720;Uberlândia;Tocantins;Livros, Industrial & Jogos;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/536.jpg
